system:index,total_precipitation_hourly
20110119T14,5.7561437712872844E-5
20110119T15,8.82618142832146E-5
20110119T16,2.005479511717346E-5
20110119T17,2.8883828301994635E-5
20110119T18,5.202094343375205E-5
20110119T19,5.6816846929990765E-5
20110119T20,7.591353975257859E-5
20110119T21,1.0019602413134438E-4
20110119T22,1.1725807736287328E-4
20110119T23,1.5696182842648307E-4
20110120T00,1.7498512795930345E-4
20110120T01,1.5943900442305875E-4
20110120T02,1.346083004266349E-4
20110120T03,1.1801238173081832E-4
20110120T04,8.940771931156138E-5
20110120T05,6.010776721900679E-5
20110120T06,3.6895751009879656E-5
20110120T07,6.893726255953713E-5
20110120T08,7.894282934650741E-5
20110120T09,5.0070899122708836E-5
20110120T10,5.5162191107942E-5
20110120T11,5.514308193812498E-5
20110120T12,6.525581897800634E-5
20110120T13,7.72952985636112E-5
20110120T14,7.274832516672554E-5
20110120T15,9.057288963471846E-5
20110120T16,3.519005964550025E-5
20110120T17,1.4054946519819924E-5
20110120T18,9.070235228914487E-6
20110120T19,8.107177215573988E-6
20110120T20,6.442296531492605E-6
20110120T21,5.952944351128617E-6
20110120T22,6.810812134066366E-6
20110120T23,9.011941293091892E-6
20110121T00,1.0833764465089014E-5
20110121T01,1.2790066248095637E-5
20110121T02,1.1891343551637893E-5
20110121T03,9.559734935953454E-6
20110121T04,8.292038053355795E-6
20110121T05,7.180206968789544E-6
20110121T06,5.9820280056211465E-6
20110121T07,3.805116803016622E-6
20110121T08,5.300280101614146E-6
20110121T09,1.0158086994617051E-5
20110121T10,1.3548407799275976E-5
20110121T11,1.2587567533632259E-5
20110121T12,8.568126300495476E-6
20110121T13,4.938952888402308E-6
20110121T14,3.389880101907979E-6
20110121T15,1.56316880627349E-6
20110121T16,9.55427094845025E-7
20110121T17,1.3011685979960183E-6
20110121T18,2.7205287493771745E-6
20110121T19,7.9450117684986E-6
20110121T20,1.201676583414581E-5
20110121T21,1.4686990872621648E-5
20110121T22,1.5190131600042787E-5
20110121T23,1.688336560399028E-5
20110122T00,1.8616010541480557E-5
20110122T01,1.6184975110010305E-5
20110122T02,1.526845660863181E-5
20110122T03,1.2745491473885624E-5
20110122T04,1.3037236529846879E-5
20110122T05,1.7628774735963623E-5
20110122T06,2.9820113170046697E-5
20110122T07,3.313198861402263E-5
20110122T08,2.6790498493684834E-5
20110122T09,2.8883132287001436E-5
20110122T10,3.547154387580213E-5
20110122T11,3.537607958183137E-5
20110122T12,2.8168999604588948E-5
20110122T13,1.839939321977305E-5
20110122T14,1.0954722526385527E-5
20110122T15,7.610826410020314E-6
20110122T16,5.518961971301197E-6
20110122T17,4.6399709917810905E-6
20110122T18,4.614266591507531E-6
20110122T19,4.40986799955159E-6
20110122T20,4.423686922920199E-6
20110122T21,4.315540995375093E-6
20110122T22,3.0845022818300427E-6
20110122T23,2.0537988484129715E-6
20110123T00,2.5907513823246977E-6
20110123T01,3.6509659436438917E-6
20110123T02,3.751510501162507E-6
20110123T03,7.260502070993009E-6
20110123T04,6.091272474363425E-6
20110123T05,4.603861424821959E-6
20110123T06,6.908307531098481E-6
20110123T07,1.735165283263763E-5
20110123T08,1.2692669859922095E-5
20110123T09,1.0362101554228377E-5
20110123T10,1.0385840631228803E-5
20110123T11,9.76070188064881E-6
20110123T12,1.0614834569702038E-5
20110123T13,1.5795243745689624E-5
20110123T14,2.1445182424185657E-5
20110123T15,2.7526257144352852E-5
20110123T16,3.4752662251758046E-5
20110123T17,3.076771113646093E-5
20110123T18,3.7653850439831716E-5
20110123T19,6.468544867639547E-5
20110123T20,5.254202032890794E-5
20110123T21,4.432984552939104E-5
20110123T22,3.9372532152270575E-5
20110123T23,3.0545786207047294E-5
20110124T00,2.7484250090284222E-5
20110124T01,2.2910376308545728E-5
20110124T02,1.8262711523917502E-5
20110124T03,1.750048390460759E-5
20110124T04,1.551030416051905E-5
20110124T05,1.1732122226754802E-5
20110124T06,1.1334617118896998E-5
20110124T07,1.586131127710523E-5
20110124T08,1.579389415128597E-5
20110124T09,1.715206117307961E-5
20110124T10,1.7060538667080663E-5
20110124T11,2.2184948696329705E-5
20110124T12,2.0007593764916703E-5
20110124T13,1.9251191223631042E-5
20110124T14,2.9568585767502116E-5
20110124T15,2.7938317172316916E-5
20110124T16,2.172093651821607E-5
20110124T17,2.5573824337330588E-5
20110124T18,3.234645243985369E-5
20110124T19,5.152899110916422E-5
20110124T20,5.8339665259575196E-5
20110124T21,7.061899816082038E-5
20110124T22,6.074987661324171E-5
20110124T23,5.1836148219690986E-5
20110125T00,3.72261503064666E-5
20110125T01,3.330346937981212E-5
20110125T02,3.0267494650408883E-5
20110125T03,2.8576924452539885E-5
20110125T04,3.24601715975148E-5
20110125T05,3.291909109978767E-5
20110125T06,2.5243277865400277E-5
20110125T07,2.85064169051145E-5
20110125T08,4.8283958700605825E-5
20110125T09,7.313264629579722E-5
20110125T10,1.0100653552281525E-4
20110125T11,1.5494743900377003E-4
20110125T12,1.992311836704983E-4
20110125T13,2.7959877483716843E-4
20110125T14,2.734050881034833E-4
20110125T15,3.338755131972181E-4
20110125T16,3.4486601866509853E-4
20110125T17,3.5318575102021087E-4
20110125T18,3.524403592917474E-4
20110125T19,3.6526217313587563E-4
20110125T20,3.6392415055752603E-4
20110125T21,3.4805762812666606E-4
20110125T22,3.002799928715224E-4
20110125T23,2.9216365226546176E-4
20110126T00,3.0789724287566246E-4
20110126T01,2.8183056364654605E-4
20110126T02,2.61376736154946E-4
20110126T03,2.5780425687454116E-4
20110126T04,2.543247158290022E-4
20110126T05,3.1656866009462385E-4
20110126T06,4.131458429372978E-4
20110126T07,3.693946967174387E-4
20110126T08,4.071346401669791E-4
20110126T09,3.58761147836385E-4
20110126T10,3.0551463669232116E-4
20110126T11,2.6786368571251094E-4
20110126T12,2.530618371235583E-4
20110126T13,2.6219086960773433E-4
20110126T14,2.7736399711627706E-4
20110126T15,2.9099581699908026E-4
20110126T16,2.681592976691421E-4
20110126T17,2.143151518952795E-4
20110126T18,1.3607600359943732E-4
20110126T19,1.4798818895653016E-4
20110126T20,9.28502019597933E-5
20110126T21,4.23804467993611E-5
20110126T22,1.9817293017382222E-5
20110126T23,1.2931082236182857E-5
20110127T00,7.042050368420716E-6
20110127T01,2.5038727796968454E-6
20110127T02,1.1930721262766928E-6
20110127T03,8.326031154712496E-7
20110127T04,7.771825208816344E-7
20110127T05,1.0415068262041045E-6
20110127T06,1.105915864796148E-6
20110127T07,1.129121860067873E-6
20110127T08,1.98123512723261E-6
20110127T09,2.4899862147580073E-6
20110127T10,2.6938696110852777E-6
20110127T11,3.6493437633833476E-6
20110127T12,7.496051002217101E-6
20110127T13,1.537528268897954E-5
20110127T14,2.4235571631842973E-5
20110127T15,2.0974897773093263E-5
20110127T16,1.1360332757267929E-5
20110127T17,7.653015143033953E-6
20110127T18,8.275167124887623E-6
20110127T19,6.881666552259483E-6
20110127T20,6.163315799869565E-6
20110127T21,5.804316468110616E-6
20110127T22,5.65626946921273E-6
20110127T23,5.315524133790279E-6
20110128T00,4.995716613927291E-6
20110128T01,4.7818358349001486E-6
20110128T02,4.4501637812201235E-6
20110128T03,3.3767560144206157E-6
20110128T04,2.4509976074123037E-6
20110128T05,1.4999220485482495E-6
20110128T06,1.5144889155691367E-6
20110128T07,1.7010720541629968E-6
20110128T08,2.3448476338846538E-6
20110128T09,1.498555897308437E-6
20110128T10,1.1371884331828517E-6
20110128T11,1.2753557786847272E-6
20110128T12,2.4606878550801523E-7
20110128T13,1.0067830238719167E-7
20110128T14,3.9690980112609776E-8
20110128T15,5.937957490568132E-8
20110128T16,8.67174346720523E-7
20110128T17,5.915668340247957E-7
20110128T18,1.7460689702740675E-7
20110128T19,8.201450751538694E-7
20110128T20,5.499926248439242E-7
20110128T21,7.454588840313041E-7
20110128T22,3.599126928736605E-7
20110128T23,6.801247403215357E-7
20110129T00,2.7717226318055644E-7
20110129T01,1.6195345752913053E-7
