system:index,total_evaporation_hourly
20110115T19,-7.850764296652423E-7
20110115T20,9.394096209178573E-7
20110115T21,5.1218162437201385E-6
20110115T22,8.822436784778798E-6
20110115T23,1.0133855871669648E-5
20110116T00,1.0780176025070271E-5
20110116T01,1.1474817121504525E-5
20110116T02,1.0397842347829042E-5
20110116T03,8.631546060853601E-6
20110116T04,9.953311967669663E-6
20110116T05,4.480337954060065E-6
20110116T06,5.499926952681211E-6
20110116T07,5.6310755793630745E-6
20110116T08,2.297792413444351E-6
20110116T09,-3.694321784498393E-6
20110116T10,-1.6228744079597163E-5
20110116T11,-4.60921729906938E-5
20110116T12,-7.17195811355834E-5
20110116T13,-7.45747757873695E-5
20110116T14,-6.10496952687151E-5
20110116T15,-3.0482828437832637E-5
20110116T16,-1.6573435177135552E-6
20110116T17,2.598492014263987E-6
20110116T18,5.105189581262203E-6
20110116T19,9.181768546424178E-6
20110116T20,7.4426241215649E-6
20110116T21,6.376508767242923E-6
20110116T22,5.49453283969834E-6
20110116T23,5.268787817670649E-6
20110117T00,5.192792221346742E-6
20110117T01,5.055889078486706E-6
20110117T02,5.160779960163187E-6
20110117T03,5.1088238213590115E-6
20110117T04,5.516245179878362E-6
20110117T05,6.083979713500435E-6
20110117T06,5.237952293668061E-6
20110117T07,5.7553179397162466E-6
20110117T08,4.912092353511819E-6
20110117T09,-5.553100492716443E-6
20110117T10,-1.6611430753878886E-5
20110117T11,-4.7705189313886865E-5
20110117T12,-6.50800552480671E-5
20110117T13,-6.043443868525358E-5
20110117T14,-4.923936225113447E-5
20110117T15,-2.644011012271048E-5
20110117T16,-6.8522419998011684E-6
20110117T17,-1.6231986037581314E-6
20110117T18,-2.697862017319815E-6
20110117T19,1.749295505548914E-7
20110117T20,-5.351253546639173E-7
20110117T21,-3.508002389825976E-6
20110117T22,-2.726033299722767E-6
20110117T23,-2.6551964214681594E-6
20110118T00,-1.8973663475176572E-6
20110118T01,-9.925183210745257E-7
20110118T02,-6.16595810532848E-7
20110118T03,1.6184895981711394E-7
20110118T04,1.422181411341792E-6
20110118T05,1.4739234687710926E-6
20110118T06,1.041457562417601E-6
20110118T07,6.764898857267178E-7
20110118T08,5.497590525455127E-7
20110118T09,-1.1620302674821012E-5
20110118T10,-3.533725077415683E-5
20110118T11,-5.412269021907331E-5
20110118T12,-6.819055724560386E-5
20110118T13,-6.414152104002992E-5
20110118T14,-5.191165642222383E-5
20110118T15,-3.3901183763158234E-5
20110118T16,-1.638898993504155E-5
20110118T17,-9.597507230139467E-6
20110118T18,-1.0091131818079852E-5
20110118T19,-1.7207700207711991E-6
20110118T20,-3.917836400028089E-6
20110118T21,-1.2839202749911534E-5
20110118T22,-1.3860310358081055E-5
20110118T23,-1.5835862766579506E-5
20110119T00,-1.7250121382681923E-5
20110119T01,-1.7124269833416005E-5
20110119T02,-1.5772122610292793E-5
20110119T03,-1.644826814121848E-5
20110119T04,-1.3895701239441763E-5
20110119T05,-1.2886570442550042E-5
20110119T06,-1.0541328797574961E-5
20110119T07,-5.780524048442217E-6
20110119T08,-1.0146831264050313E-5
20110119T09,-2.212469418051703E-5
20110119T10,-5.4678404335471376E-5
20110119T11,-9.389927566003588E-5
20110119T12,-1.0811806064325581E-4
20110119T13,-9.934186133175457E-5
20110119T14,-7.146871805323326E-5
20110119T15,-4.815565699407974E-5
20110119T16,-1.6515478871769766E-5
20110119T17,-4.025160505105951E-6
20110119T18,-2.0588897389144404E-6
20110119T19,1.3089761398310639E-6
20110119T20,3.671797435443551E-6
20110119T21,4.322021064004184E-6
