system:index,ET
2017_02_18,50.8435533310789
2017_02_26,61.917052360428855
2017_03_06,58.694277279942305
2017_03_14,79.05403729716888
2017_03_22,100.41375440949794
2017_03_30,109.60404558015648
2017_04_07,135.76241365703657
2017_04_15,108.06340309525926
2017_04_23,115.52871926387694
2017_05_01,147.99667398756267
2017_05_09,234.75841769406034
2017_05_17,244.222237691174
2017_05_25,319.6035420583837
2017_06_02,265.26721638943695
2017_06_10,311.8647728656112
2017_06_18,275.6034136409436
2017_06_26,233.68077015805343
2017_07_04,240.77488884160684
2017_07_12,223.03028012399375
2017_07_20,217.80676624578103
2017_07_28,233.7997566381924
2017_08_05,202.44904588674072
2017_08_13,203.8850568302519
2017_08_21,213.68569738889548
2017_08_29,174.92074324343784
2017_09_06,145.72532445394222
2017_09_14,124.27761703229919
2017_09_22,140.36185927080666
2017_09_30,91.47032618644992
2017_10_08,86.22802229679924
2017_10_16,70.09833299241016
2017_10_24,56.11099295109441
2017_11_01,40.84612712063323
2017_11_09,29.991521007630638
2017_11_17,34.16574238349119
2017_11_25,22.30048592532287
2017_12_03,20.58166482129172
2017_12_11,20.904171348058014
2017_12_19,17.89778161952005
2017_12_27,14.907512279308602
2018_01_01,28.67787444719092
2018_01_09,28.45849842187558
2018_01_17,25.926513736232465
2018_01_25,26.76539552374856
2018_02_02,32.33182259202899
2018_02_10,36.618395561746595
2018_02_18,45.06903336777413
2018_02_26,51.22760448869462
2018_03_06,57.79449119927707
2018_03_14,69.03793444525051
2018_03_22,82.05984671522926
2018_03_30,102.16708680102943
2018_04_07,128.89909252148925
2018_04_15,201.82609409462844
2018_04_23,190.3855209757051
2018_05_01,253.1467801283812
2018_05_09,238.63889661670996
2018_05_17,257.1633893769908
2018_05_25,284.63283618754883
2018_06_02,293.55788910312106
2018_06_10,243.23152680851712
2018_06_18,273.0826286863501
2018_06_26,285.44447537051724
2018_07_04,232.80122571684785
2018_07_12,225.96494521250787
2018_07_20,196.47675553532133
2018_07_28,176.46184993442168
2018_08_05,173.4367978975928
2018_08_13,187.00332977319707
2018_08_21,147.5708131608813
2018_08_29,140.4806967417579
2018_09_06,132.66501759951143
2018_09_14,123.44567503061059
2018_09_22,100.17135413615124
2018_09_30,82.97062987628209
2018_10_08,91.23523551335563
2018_10_16,58.94621859123636
2018_10_24,41.28769331224371
2018_11_01,44.534392740020536
2018_11_09,44.48978398188629
2018_11_17,34.91688325047674
2018_11_25,25.086974376296695
2018_12_03,27.832359428245194
2018_12_11,26.906523696462727
2018_12_19,27.018408734313223
2018_12_27,13.889406887293745
2019_01_01,19.603873123467963
2019_01_09,22.1383169968414
2019_01_17,33.0154827741676
2019_01_25,25.1998525114306
2019_02_02,36.4089589816017
2019_02_10,47.979993543829515
2019_02_18,56.61288652973413
2019_02_26,50.41786870303742
2019_03_06,63.49113010666553
2019_03_14,61.80631269201979
2019_03_22,89.20714387934615
2019_03_30,96.00955113702463
2019_04_07,90.23472510163546
2019_04_15,163.04049244673286
2019_04_23,151.24128407407648
2019_05_01,145.04088701726914
2019_05_09,179.40122484835945
2019_05_17,212.14088523834045
2019_05_25,270.80694613060103
2019_06_02,287.1928674449285
2019_06_10,266.8875829417085
2019_06_18,299.40490799423173
2019_06_26,302.3315697117129
2019_07_04,214.61362417518578
2019_07_12,198.35386965811318
2019_07_20,158.29710374037236
2019_07_28,187.52856629176972
2019_08_05,169.9219859473374
2019_08_13,174.5686724303955
2019_08_21,211.973407997631
2019_08_29,172.95743410067095
2019_09_06,129.09876463763683
2019_09_14,133.20734881183463
2019_09_22,112.48470682912698
2019_09_30,81.1504087412599
2019_10_08,76.38114667454353
2019_10_16,62.5132554196005
2019_10_24,51.439717231261625
2019_11_01,36.74664329585854
2019_11_09,26.647844496398434
2019_11_17,23.255962183506544
2019_11_25,27.24737935226783
2019_12_03,23.039453517662817
